"breezes,1",1
"intended,45",1
"springer,9",1
"promises,19",1
notch,17
"ad-libs,2",1
"600,2",1
askew,8
woods,34
spiders,3
"created,100",1
hanging,21
"ruckus,1",1
woody,88
"soundstage,2",1
comically,6
co-venture,1
apology,1
"fiery-haired,1",1
"tokens,2",1
"southern-drawling,1",1
off-camera,1
"astonishment,2",1
"contributors,2",1
hordes,3
scold,2
"cringed,1",1
lucinda's,2
originality,24
diplomat's,1
tingle,2
"adherents,1",1
"mandy,4",1
talent--samuel,1
rickman,8
pant-wetter,1
"blurry,2",1
"garish,2",1
"talking,76",1
slothful,1
wracked,1
wood',1
"argo,1",1
"kirkeby,1",1
"musty,1",1
"moss,11",1
tanning,2
capoeira,1
"team,123",1
"forsyth's,1",1
rawhide,1
"mutates,2",1
"exploding,11",1
screaming,16
"benigni+s,4",1
"expansive,3",1
"brushes,1",1
"stroller,1",1
liaisons,1
grueling,1
sommerset,4
wooden,21
"gathers,3",1
wednesday,5
viable,3
tak,1
crotch,3
elgar,2
"congo,5",1
stereotypical,16
"kind-hearted,6",1
busybody,2
"cliches,40",1
non-violent,1
full-thx,1
sooty,1
"tandy's,1",1
tom's,10
"karate-chopping,1",1
"constitutionality,1",1
"--slacker,1",1
"onanism,1",1
feasibility,1
bannister,1
'robocop,1
ruffini,1
gorman,2
sustaining,2
goodnight_,1
scraped,2
"accusing,1",1
"pondering,4",1
"lingo,1",1
errors,2
sevigny,6
reopens,1
cooking,7
fonzie,1
madman's,1
"nachos,3",1
localized,1
videodrome,1
designing,4
vacano's,1
succumb,3
"lawyer/fixer,1",1
shocks,8
"19-months,1",1
really,775
"airborne,1",1
"hypnotist,1",1
"post,10",1
"weitz,3",1
"requests,5",1
china,37
"deceased,5",1
"eastwood's,1",1
shandling,4
"haggard,2",1
wiseguy,7
"filmmakers',2",1
natured,4
existentialist,1
kids,160
uplifting,25
"dissects,2",1
"jimi,2",1
"washes,2",1
"looted,1",1
grimacing,3
controversy,12
"chuckles,6",1
"spritely,1",1
crowdpleasing,1
neurologist,1
"disconnected,1",1
spotty,1
'out-of-character',1
sign-up,1
"interracial,4",1
golden,31
_would_,1
projection,2
outraging,1
lengthen,1
emerich,1
"rewarding,11",1
"michell,1",1
"goals,15",1
"proved,17",1
unsinkable,4
stern,12
"epitomizes,1",1
prodigy,4
"blended,4",1
"enlargement,1",1
"registers,2",1
"classrooms,1",1
dna,8
"bing,2",1
"workmates,2",1
catchy,21
insecurity,4
"distasteful,1",1
"esmerelda,2",1
"cremer,1",1
cannibal,6
sidebars,2
vampire's,1
"parker,35",1
music,273
therefore,53
violently,1
"laid-back,1",1
mutinies,1
already-existing,1
"kentucky,7",1
"kin,1",1
"wire,2",1
"lubezki's,1",1
"unwavering,6",1
43,1
mesmerize,1
yahoo,1
meteorologist,1
"starve,2",1
"bureaucrats,2",1
boorman,1
"regarding,19",1
primeval,1
meltdown,1
voicework,1
"creation-,1",1
circumstances,33
reingold,1
"gretel,1",1
morally,6
locked,12
"machinegun,1",1
"katrin,1",1
imhotep,4
"fell,15",1
"owner's,1",1
basic-,1
"_ghost,4",1
locker,8
locket,2
"movie',1",1
"spaniards,3",1
"makes,560",1
"motorcycle,5",1
matilda,18
"object,21",1
wang,10
wane,2
unjust,2
titanium,1
"terribly,15",1
"groups,15",1
dishearteningly,1
want,265
"ru'afro,7",1
pinto,1
absolute,21
"wonka,3",1
"shock-factor,1",1
"jibberish,1",1
co-operation,1
"horror-fans,1",1
"exchange,21",1
travel,43
visceral,7
copious,2
elements--earth,1
"extermination,1",1
rudnick,1
"turkeys,1",1
double-barreled,1
"schoolboy's,1",1
"battleship,3",1
hero/heroine,1
"part-way,1",1
"moff,1",1
"emotionally,52",1
"seagal,1",1
oceans,2
thivisol,2
sonorra,1
"chereau's,1",1
"wormwoods,1",1
dinosaurs,15
wrong,165
"bogan,1",1
"19-year,1",1
spoilers],1
sentencing,1
"leia's,1",1
"pressured,2",1
self-acceptance,2
ping-bin,1
promotion,4
matter-of-fact,6
colorfully,1
"whiz,6",1
"tent,6",1
"overexposed,3",1
"talk-show,3",1
&#137,1
subplots,19
"clay,6",1
sickening,2
18th,4
"weller,6",1
"cartoonish-barlow's,1",1
nonsensical,2
romper,1
"kaplan,4",1
snugly,2
"douglas',4",1
"hi-fi,1",1
welcomed,2
"hallucinations,6",1
"polarized,1",1
stoicism,2
whizzing,1
partnered,1
sidekicks,3
"romeo,22",1
needfully,1
"slob,1",1
rewarded,7
head-spinning,1
"trucks,1",1
playhouse,1
thick-witted,1
wickedly,6
series's,2
fit,42
lifeline,1
bringing,49
fix,10
striking,23
"sometimes-tedious,1",1
"inkpot's,3",1
"collector's,5",1
tiffani-amber,1
neo-gothic,1
wales,3
"racing,5",1
fin,1
"feet,39",1
"instance,38",1
zucker,4
gies,1
"wasted,16",1
"'hospital,1",1
"obituaries,1",1
"kinky,2",1
disturb,3
"shoddy,1",1
"punchline,3",1
recollections,3
guiler,1
effects,305
"korngold's,1",1
much-welcome,1
sixteen,6
saddened,4
"delighted,4",1
human/alien,1
